ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20230728,3275.9257,3206.741,3280.2777,3200.9939,3216.6709,59.2548,1.8421,411068434.0,436923617.4
000001.SH,20230727,3216.6709,3225.4763,3245.6028,3210.4699,3223.0279,-6.357,-0.1972,327118867.0,332145068.3
000001.SH,20230726,3223.0279,3228.0873,3229.8921,3212.8801,3231.5213,-8.4934,-0.2628,317206051.0,328306929.4
000001.SH,20230725,3231.5213,3201.4575,3231.7486,3201.4575,3164.1608,67.3605,2.1289,348617714.0,410846601.1
000001.SH,20230724,3164.1608,3157.4694,3178.7335,3151.1252,3167.7452,-3.5844,-0.1132,216595211.0,260119088.9
000001.SH,20230721,3167.7452,3163.421,3185.6357,3157.3335,3169.522,-1.7768,-0.0561,225331363.0,280673190.4
000001.SH,20230720,3169.522,3201.9111,3209.0554,3165.6739,3198.8358,-29.3138,-0.9164,238932891.0,302376024.1
000001.SH,20230719,3198.8358,3195.0085,3204.3612,3181.5611,3197.8201,1.0157,0.0318,217355860.0,281206091.2
000001.SH,20230718,3197.8201,3206.786,3210.2482,3190.0049,3209.6298,-11.8097,-0.3679,235030259.0,307331649.3
000001.SH,20230717,3209.6298,3219.0162,3219.0162,3195.8862,3237.7012,-28.0714,-0.867,250208376.0,322074497.1
000001.SH,20230714,3237.7012,3240.9695,3248.3849,3233.9985,3236.48,1.2212,0.0377,273327494.0,368337829.1
000001.SH,20230713,3236.48,3202.6992,3238.4675,3202.6992,3196.1337,40.3463,1.2623,276620508.0,373242517.8
000001.SH,20230712,3196.1337,3220.3758,3224.3312,3193.4366,3221.3666,-25.2329,-0.7833,271423386.0,365433182.3
000001.SH,20230711,3221.3666,3211.1222,3221.6804,3200.3845,3203.6958,17.6708,0.5516,227600467.0,309950254.7
000001.SH,20230710,3203.6958,3208.7349,3216.5348,3192.6579,3196.6092,7.0866,0.2217,236560367.0,311462495.6
000001.SH,20230707,3196.6092,3197.4716,3212.0472,3189.2114,3205.5748,-8.9656,-0.2797,255688469.0,313607453.2
000001.SH,20230706,3205.5748,3215.8633,3229.4799,3199.7164,3222.9469,-17.3721,-0.539,246119032.0,320808312.6
000001.SH,20230705,3222.9469,3240.0486,3241.8353,3218.6022,3245.3492,-22.4023,-0.6903,264016426.0,351234984.7
000001.SH,20230704,3245.3492,3241.2305,3246.9576,3233.9895,3243.975,1.3742,0.0424,279248721.0,387115944.1
000001.SH,20230703,3243.975,3209.1623,3246.8605,3209.1623,3202.0623,41.9127,1.3089,312371395.0,421353472.4
